,,60,70,80,90,100,110,120,130
888,ET (Ry),-427.3014018,-427.3015657,-427.3016266,-427.3018584,-427.3024392,-427.3028078,-427.3028529,-427.3028999
,P (kbar),5.34,5.08,5.44,4.22,3.84,4.88,5.52,5.03
101010,ET (Ry),-427.3019663,-427.3021306,-427.3021913,-427.3024228,-427.3030047,-427.3033724,-427.3034177,-427.3034645
,P (kbar),5.33,5.04,5.34,4.12,3.77,5.00,5.52,5.06
121212,ET (Ry),-427.3021337,-427.302298,-427.3023587,-427.3025903,-427.3031725,-427.3035398,-427.3035851,-427.303632
,P (kbar),5.15,5.13,5.36,4.10,3.77,4.93,5.49,4.96
141414,ET (Ry),-427.3021918,-427.3023561,-427.3024168,-427.3026488,-427.3032304,-427.3035979,-427.3036433,-427.3036901
,P (kbar),5.29,5.18,5.42,4.25,3.86,4.97,5.62,5.02
161616,ET (Ry),,,,,,-427.3036205,-427.30366579 ,-427.3037125
,P (kbar),,,,,,5.06,5.55,5.03
181818,ET (Ry),,,,,,-427.3036299,-427.3036752,-427.303722
,P (kbar),,,,,,5.00,5.61,5.03